Date,Price (EUR/MWh)
2015-01-01,40.51
2015-02-01,46.37
2015-03-01,42.18
2015-04-01,41.40
2015-05-01,37.34
2015-06-01,38.73
2015-07-01,42.19
2015-08-01,38.87
2015-09-01,39.65
2015-10-01,41.45
2015-11-01,38.44
2015-12-01,33.71
2016-01-01,31.56
2016-02-01,25.20
2016-03-01,26.14
2016-04-01,25.32
2016-05-01,27.20
2016-06-01,32.60
2016-07-01,33.07
2016-08-01,28.35
2016-09-01,32.87
2016-10-01,38.01
2016-11-01,42.85
2016-12-01,43.50
2017-01-01,50.76
2017-02-01,43.06
2017-03-01,34.53
2017-04-01,35.35
2017-05-01,35.06
2017-06-01,33.30
2017-07-01,34.46
2017-08-01,33.06
2017-09-01,38.75
2017-10-01,39.88
2017-11-01,47.27
2017-12-01,46.47
2018-01-01,38.80
2018-02-01,44.57
2018-03-01,51.82
2018-04-01,39.72
2018-05-01,47.08
2018-06-01,51.36
2018-07-01,53.30
2018-08-01,58.02
2018-09-01,63.32
2018-10-01,59.93
2018-11-01,62.29
2018-12-01,59.66
2019-01-01,58.30
2019-02-01,46.85
2019-03-01,40.50
2019-04-01,40.84
2019-05-01,40.19
2019-06-01,36.23
2019-07-01,39.62
2019-08-01,37.41
2019-09-01,36.58
2019-10-01,37.96
2019-11-01,42.71
2019-12-01,37.40
2020-01-01,37.07
2020-02-01,29.55
2020-03-01,24.75
2020-04-01,18.97
2020-05-01,17.67
2020-06-01,26.26
2020-07-01,29.35
2020-08-01,34.07
2020-09-01,42.60
2020-10-01,37.11
2020-11-01,41.05
2020-12-01,48.28
2021-01-01,53.62
2021-02-01,49.23
2021-03-01,48.89
2021-04-01,53.87
2021-05-01,56.12
2021-06-01,76.51
2021-07-01,82.58
2021-08-01,86.66
2021-09-01,136.39
2021-10-01,163.81
2021-11-01,186.30
2021-12-01,237.80
2022-01-01,189.24
2022-02-01,168.29
2022-03-01,261.03
2022-04-01,195.31
2022-05-01,181.40
2022-06-01,210.70
2022-07-01,306.86
2022-08-01,447.25
2022-09-01,340.89
2022-10-01,155.51
2022-11-01,179.48
2022-12-01,258.49
2023-01-01,126.13
2023-02-01,134.91
2023-03-01,104.44
2023-04-01,98.71
2023-05-01,77.88
2023-06-01,92.04
2023-07-01,71.69
2023-08-01,91.42
2023-09-01,98.70
2023-10-01,90.19
2023-11-01,94.46
2023-12-01,73.04
2024-01-01,78.43
2024-02-01,63.91
2024-03-01,63.38
2024-04-01,58.42
2024-05-01,65.70
2024-06-01,68.06
2024-07-01,65.04
2024-08-01,77.10
2024-09-01,77.62
2024-10-01,87.80
2024-11-01,113.47
2024-12-01,107.94
2025-01-01,116.82
2025-02-01,125.81
2025-03-01,91.69
2025-04-01,74.83
2025-05-01,64.21
2025-06-01,67.70
2025-07-01,87.53
2025-08-01,74.52
2025-09-01,83.75
2025-10-01,82.29
2025-11-01,93.78
2025-12-01,87.67
2026-01-01,107.14
2026-02-01,96.08
2026-03-01,98.98
2026-04-01,84.39
2026-05-01,94.85
2026-06-01,107.02
2026-07-01,87.02
